Number;neighbourhood_group;neighbourhood;latitude;longitude
45;Sants-Montjuic;Hostafrancs;41.37453759351574;2.1468306182740715
45;Sants-Montjuic;Hostafrancs;41.37408659908494;2.145858222359141
45;Sants-Montjuic;Hostafrancs;41.3749936167003;2.144522301112431
45;Sants-Montjuic;Hostafrancs;41.377465645696816;2.145768535549985
45;Sants-Montjuic;Hostafrancs;41.37554462667391;2.1475632752600053
45;Sants-Montjuic;Hostafrancs;41.374301260909185;2.145482100666047
45;Sants-Montjuic;Hostafrancs;41.37496458847168;2.1460610815984635
45;Sants-Montjuic;Hostafrancs;41.372465750639066;2.1440760921423876
45;Sants-Montjuic;Hostafrancs;41.37121739943904;2.143871471115375
45;Sants-Montjuic;Hostafrancs;41.374522998757435;2.1457545828685802
45;Sants-Montjuic;Hostafrancs;41.37076516829703;2.1430826934014275
45;Sants-Montjuic;Hostafrancs;41.37469518598456;2.1430422083314093
45;Sants-Montjuic;Hostafrancs;41.37323241062187;2.1449988422655077
45;Sants-Montjuic;Hostafrancs;41.372450836611364;2.145019875412962
45;Sants-Montjuic;Hostafrancs;41.373274302522866;2.1432989012896004
45;Sants-Montjuic;Hostafrancs;41.372954488100326;2.1416312949604452
45;Sants-Montjuic;Hostafrancs;41.375247761378816;2.1410173165251623
45;Sants-Montjuic;Hostafrancs;41.37142903433217;2.1429605947304595
45;Sants-Montjuic;Hostafrancs;41.37563769498311;2.1478527368981926
45;Sants-Montjuic;Hostafrancs;41.3760521306043;2.1429108106564003
45;Sants-Montjuic;Hostafrancs;41.37336484493971;2.144477580139131
45;Sants-Montjuic;Hostafrancs;41.37652357020078;2.1470018753148636
45;Sants-Montjuic;Hostafrancs;41.37414390089722;2.1466697478299954
45;Sants-Montjuic;Hostafrancs;41.375882654757746;2.147874832224007
45;Sants-Montjuic;Hostafrancs;41.37442385097125;2.141840756469723
45;Sants-Montjuic;Hostafrancs;41.37278198731858;2.144271267119303
45;Sants-Montjuic;Hostafrancs;41.37597973531954;2.1406835760377176
45;Sants-Montjuic;Hostafrancs;41.37773551596271;2.1434071160487553
